,Liczba pokoi,Cena,Cena za m2
0,3,320.0,4050.63
6,3,380.0,5946.79
11,3,252.0,5250.0
12,5,950.0,5889.65
13,3,299.0,5137.46
14,4,579.0,5169.64
16,4,375.0,5067.57
17,5,289.0,2896.95
18,3,309.0,4753.85
25,3,295.068,5965.79
28,3,320.0,5339.56
31,3,499.0,5544.44
33,4,300.0,4285.71
39,3,290.0,5370.37
43,3,345.0,4107.14
44,4,449.0,4157.41
45,3,420.0,5630.03
47,3,329.0,5612.42
48,3,355.0,5546.88
56,3,226.0,5022.22
57,3,600.0,5660.38
59,3,319.024,5876.29
60,4,569.0,5035.4
63,3,329.0,4700.0
71,3,370.496,5600.0
73,3,339.0,5844.83
79,3,329.0,4700.0
80,3,245.0,5072.46
81,3,319.0,4796.99
82,3,273.0,3455.7
84,3,364.0,5600.0
93,5,690.0,5000.0
104,3,275.0,5188.68
115,3,397.0,4362.64
116,4,450.0,3629.03
119,3,359.0,6189.66
120,3,276.36400000000003,5710.0
124,3,333.06,6100.0
127,4,381.457,5510.0
136,3,340.0,5230.77
143,3,355.0,4493.67
147,4,385.0,4277.78
150,4,279.0,4359.38
154,3,322.558,5710.0
157,3,339.0,4643.84
158,3,353.88199999999995,5900.0
160,4,465.0,5166.67
171,3,289.0,4616.61
174,3,326.073,6150.0
175,4,259.0,3888.89
176,4,375.0,3947.37
178,3,415.0,5431.94
187,6,1140.0,5906.74
192,3,276.0,5207.55
196,5,450.0,3461.54
197,3,245.0,5104.17
198,5,900.0,5832.79
202,3,409.0,3728.35
204,4,599.0,4074.83
208,3,363.13300000000004,6100.0
210,3,245.7,4200.0
213,3,308.066,6050.0
214,3,323.357,5737.35
215,3,385.0,4020.05
217,4,469.0,5097.83
219,3,400.0,5797.1
220,3,370.0,5138.89
223,4,334.57300000000004,4587.59
224,3,289.0,4358.97
229,3,409.0,4397.85
230,3,299.0,5059.22
234,3,309.0,5237.29
235,3,315.0,3987.34
245,3,615.0,5970.87
251,3,310.0,4843.75
253,4,324.9,4390.54
255,3,328.842,5749.99
257,3,360.0,3287.67
259,3,311.76599999999996,5710.0
261,3,320.0,4210.53
268,5,420.0,4615.38
270,3,265.0,5638.3
280,4,299.0,4052.59
284,4,355.0,4797.3
286,3,298.0,4656.25
289,5,690.0,5000.0
291,3,263.0,5977.27
295,4,350.0,4619.85
298,3,210.0,4285.71
299,3,344.0,5548.39
301,4,340.0,4802.26
303,3,209.0,4860.47
304,3,365.0,5530.3
305,4,399.0,4680.35
307,3,274.0,3558.44
310,3,265.0,5638.3
316,3,324.0,4764.71
317,3,275.0,4296.88
318,3,335.0,4718.31
320,3,230.0,5424.53
322,3,310.0,4769.23
323,3,325.0,5327.87
325,3,249.99900000000002,4629.61
326,3,279.0,4359.38
327,3,438.691,5667.84
328,3,340.0,5230.77
331,4,399.0,4639.53
332,4,329.999,4402.33
333,3,300.0,4087.19
334,4,390.0,3000.0
335,3,219.99900000000002,4680.83
339,3,379.0,5121.62
350,3,309.0,4446.04
352,3,285.0,5937.5
353,3,350.0,5468.75
355,3,349.566,5710.0
357,3,318.0,4746.27
361,3,320.0,5161.29
366,3,456.19199999999995,5940.0
369,3,289.0,5351.85
371,3,285.0,4453.12
372,3,285.0,6063.83
376,3,329.0,4700.0
377,3,296.56,5965.8
382,3,275.0,5851.06
383,3,402.0,6000.0
386,4,625.0,5208.33
387,3,259.0,4841.12
388,3,374.775,5700.0
392,3,299.0,5802.45
393,4,259.0,3463.49
397,3,436.51800000000003,6088.97
398,3,290.0,4531.25
400,3,402.0,6000.0
401,3,329.0,4910.45
409,3,340.0,5666.67
414,3,279.0,5936.17
417,4,385.0,4277.78
420,3,348.406,5800.0
422,3,390.0,5963.3
424,3,380.0,4162.1
425,3,357.18,6000.0
426,3,324.0,4628.57
429,4,315.0,4279.89
430,3,320.0,4571.43
432,3,299.0,5641.51
433,3,275.0,4296.88
434,3,459.0,6202.7
436,4,465.0,6000.77
438,5,450.0,4891.3
441,4,390.2,5659.99
448,3,335.029,5610.0
450,3,311.92,5600.0
453,3,320.0,5161.29
454,3,320.0,5161.29
458,3,330.055,5500.0
462,3,325.0,5078.12
463,3,395.0,5197.37
475,3,335.0,5677.97
476,4,325.0,4642.86
478,3,280.29900000000004,5960.0
480,4,590.0,3933.33
481,3,279.0,3576.92
486,3,289.0,6148.94
493,3,315.0,5338.98
494,3,255.0,5312.5
495,3,278.0,4633.33
496,4,355.0,4797.3
498,4,450.0,4398.83
499,3,349.99,4380.35
500,3,364.981,5103.2
501,4,349.0,5369.23
502,3,279.0,6200.0
505,4,665.26,6200.0
508,3,419.0,5338.94
509,3,320.0,4945.9
510,4,390.0,2997.69
515,3,265.0,3955.22
519,3,285.0,3856.56
520,3,359.0,5279.41
527,3,376.23199999999997,5623.8
529,3,374.906,5587.27
531,4,435.0,4692.56
532,3,299.0,4822.58
533,3,210.0,3888.89
534,3,330.0,3877.79
535,4,330.0,4429.53
537,3,310.0,5344.83
541,3,320.698,5924.59
544,3,318.0,5071.77
545,3,275.397,6150.0
546,3,450.6,6080.15
551,4,450.165,5800.35
553,3,319.0,3775.15
554,3,328.0,5857.14
557,4,320.0,3076.92
565,4,317.0,4876.92
569,3,399.0,5391.89
572,3,314.029,5560.0
580,3,309.0,4753.85
581,3,320.0,6027.5
586,3,321.53,5710.0
588,4,597.5930000000001,5722.97
589,3,387.0,4690.91
595,3,398.0,6057.84
606,3,275.0,4741.38
610,4,285.0,3904.11
613,3,390.0,6000.0
615,3,289.0,5207.21
617,3,300.685,6050.0
619,3,320.0,4102.56
623,5,499.0,4123.97
629,3,285.0,5327.1
630,3,399.0,6186.05
631,4,368.0,5575.76
633,4,349.0,4915.49
637,3,315.0,4992.08
639,3,240.0,3815.58
641,3,315.0,6176.47
642,5,369.0,3526.71
645,4,329.0,4588.56
646,3,295.0,4609.38
651,3,349.0,6122.81
653,4,420.0,3921.57
655,3,288.0,3840.0
660,3,245.0,5104.17
666,3,310.0,3875.0
668,3,370.0,5477.42
672,3,360.0,6206.9
678,4,338.921,6050.0
679,4,790.0,6076.92
682,3,299.0,5059.22
689,3,345.0,4866.01
691,3,380.0,5135.14
694,3,288.44599999999997,5965.79
695,3,260.0,4642.86
696,3,330.0,4654.44
698,3,335.59,5610.0
702,3,263.0,5923.42
703,5,650.0,4082.91
706,3,289.0,6020.83
707,3,310.0,3904.28
714,3,345.0,4662.16
715,3,355.0,4437.5
717,3,385.0,6209.68
720,3,294.0,5764.71
721,3,337.0,5590.58
726,3,295.0,4609.38
729,3,390.0,4382.02
730,3,315.0,4921.88
731,3,299.0,4241.13
732,3,266.0,5541.67
734,3,278.0,4680.13
736,5,328.0,4539.16
738,3,362.6,5578.46
741,3,344.0,5548.39
747,3,374.0,5582.09
750,5,495.0,3300.0
751,3,340.0,4303.8
753,3,359.0,6189.66
756,4,497.0,3913.39
757,3,340.0,5230.77
759,3,394.67400000000004,5867.01
761,3,259.0,5510.64
763,3,325.0,5327.87
767,3,285.0,5937.5
768,3,349.0,5816.67
772,3,390.0,4659.5
773,3,408.45599999999996,6200.0
776,3,340.0,5762.71
780,3,299.0,5067.8
789,4,825.0,5574.32
791,3,320.0,5161.29
794,4,409.5,5250.0
795,3,279.0,5812.5
802,3,335.714,5499.0
809,4,435.0,5576.92
810,4,511.017,6019.75
814,4,599.0,5546.3
817,3,481.0,5992.28
819,4,619.0,5627.27
820,4,410.0,4141.41
823,3,290.0,5370.37
824,3,320.0,5245.9
826,4,663.0,5815.79
827,3,292.04,5960.0
829,4,365.0,5119.21
835,3,353.941,5900.0
838,3,423.523,6100.0
844,3,280.0,5833.33
847,4,499.0,4990.0
848,4,419.0,4060.08
851,4,493.116,5844.68
856,3,450.0,4411.76
859,5,530.0,5888.89
862,3,342.0,4071.43
866,3,275.0,5851.06
868,3,314.782,6050.01
873,4,419.0,5048.19
874,3,320.0,4145.08
877,4,350.0,3446.58
880,3,450.0,5976.1
883,3,349.0,4780.82
884,4,310.0,4843.75
887,5,575.0,5469.94
888,4,369.0,3967.74
889,3,412.564,5902.2
891,4,604.706,5848.79
894,3,330.0,5045.87
896,4,320.0,4266.67
898,3,326.76099999999997,6050.01
899,3,309.0,4465.32
902,4,420.0,4285.71
905,4,385.0,3923.37
908,3,349.82800000000003,6102.01
913,3,335.0,5368.59
921,6,790.0,6109.82
922,3,349.0,5453.12
925,4,499.999,5263.15
928,3,345.0,5750.0
929,3,295.0,3933.33
931,3,365.284,5800.0
936,4,420.0,4697.99
938,6,1140.0,5925.16
939,3,312.967,6050.01
940,3,324.668,5924.6
942,4,319.0,5063.49
943,4,350.0,4748.98
945,3,417.0,4483.87
946,3,345.0,5847.46
948,3,649.0,5981.57
949,3,359.885,5760.0
952,4,555.0,5704.01
954,3,305.0,3563.08
955,4,350.0,4375.0
958,3,320.0,3989.53
965,3,275.0,5188.68
967,3,285.0,5377.36
970,5,0.001,0.01
971,3,299.233,6050.0
972,4,690.0,5307.69
973,4,350.0,3446.58
974,3,389.0,5893.94
975,3,265.0,4416.67
977,4,455.0,5129.65
980,3,289.0,5351.85
986,3,265.0,5520.83
997,3,439.9,5865.33
999,4,599.0,5546.3
1002,5,429.0,3272.31
1005,4,320.0,5245.9
1006,3,520.0,5730.03
1008,4,357.37199999999996,5659.99
1010,3,344.101,6100.0
1016,3,320.0,4102.56
1019,3,250.0,4629.63
1021,3,339.0,4643.84
1023,3,359.0,5279.41
1026,3,290.0,3815.79
1030,3,281.632,5860.01
1031,4,392.0,3920.0
1043,3,404.644,5734.75
1045,4,488.0,5136.84
1047,3,333.994,6200.0
1048,4,630.0,5811.81
1052,3,298.0,4656.25
1053,3,299.0,4784.0
1054,3,335.0,4745.04
1058,3,423.42,6184.02
1062,3,330.0,5000.0
1070,3,438.82199999999995,5691.6
1071,3,275.0,5288.46
1072,4,365.0,4932.43
1073,3,279.875,6250.0
1076,3,314.782,6050.01
1079,3,360.0,5806.45
1080,3,330.0,5263.16
1082,3,450.0,4403.13
1085,3,265.0,2523.81
1087,3,290.0,4625.2
1089,3,309.0,4928.23
1091,3,199.0,3086.71
1097,4,309.9,4998.39
1101,3,490.0,4260.87
1105,3,288.44599999999997,5965.79
1109,3,200.0,3333.33
1113,3,269.0,5037.45
1116,3,264.0,5581.4
1117,3,310.0,5254.24
1121,4,459.0,4781.25
1122,3,319.0,5596.49
1132,3,279.0,5861.34
1133,3,339.0,5557.38
1138,3,320.0,4923.08
1143,3,315.0,5000.0
1145,3,296.7,5298.21
1146,5,750.0,5716.46
1149,3,278.0,4633.33
1153,4,405.0,5159.24
1155,4,305.0,4357.14
1163,3,264.0,5617.02
1164,3,319.9,4101.28
1166,3,289.0,4982.76
1167,3,329.0,4386.67
1171,5,534.42,6000.0
1173,3,419.0,4655.56
1177,4,465.0,5946.29
1180,3,340.0,5074.63
1183,3,400.0,5797.1
1184,4,399.9,4039.39
1189,3,384.395,5994.0
1191,3,312.0,4800.0
1194,3,578.0,5526.34
1198,3,270.0,5869.57
1199,3,408.45599999999996,6200.0
1201,3,334.92800000000005,6050.0
1202,3,265.0,3732.39
1203,3,279.0,4982.14
1219,3,290.0,6144.07
1222,3,225.0,5113.64
1228,4,320.0,4266.67
1229,3,440.0,5804.75
1230,3,279.0,3576.92
1233,3,344.0,5548.39
1239,3,260.0,4642.86
1240,3,325.0,5134.28
1241,3,399.0,5399.19
1242,3,285.0,4298.64
1243,4,335.01099999999997,4593.6
1245,4,289.0,3905.41
1247,3,349.74199999999996,6200.0
1251,3,283.0,4421.88
1253,3,295.0,4557.39
1255,3,349.18800000000005,6250.01
1258,5,475.0,4318.18
1259,5,351.0,4153.85
1261,4,338.921,6050.0
1263,5,697.6,6199.24
1265,3,288.89099999999996,3698.99
1269,3,299.0,4708.66
1272,4,409.0,3752.29
1274,3,345.0,5750.0
1276,3,285.0,5089.29
1277,3,330.0,5030.49
1278,3,280.0,5833.33
1279,3,420.0,5060.24
1281,3,349.74199999999996,6200.0
1292,3,335.606,6200.0
1293,3,352.691,5924.59
1294,3,429.458,5507.99
1296,6,280.0,3456.79
1297,4,329.0,5576.27
1300,3,270.0,4199.07
1307,3,354.0,4849.32
1309,4,330.0,5084.75
1310,4,217.7,2980.97
1311,3,335.0,4745.04
